country,flare_16,flare_17,flare_18,flare_19,flare_20,flare_21,change_20_21
Russia,22.37,19.92,2128,23.21,24.88,25.41,0.53
Iraq,17.73,17.84,17.82,17.91,17.37,17.8,0.43
Iran,16.41,17.67,17.28,13.78,13.26,17.38,4.12
United States of America,8.86,9.48,14.07,17.29,11.81,8.78,-3.03
Algeria,9.1,8.8,9.01,9.34,9.32,8.16,-1.16
Venezuela,9.35,7,8.22,9.54,8.59,8.19,-0.4
Nigeria,7.31,7.65,7.44,7.83,7.2,6.63,-0.57
Mexico,4.78,3.79,3.89,4.48,5.77,6.51,0.74
China,1.96,1.56,1.82,2.02,2.72,2.49,-0.23
Oman,2.82,2.6,2.54,2.63,2.52,2.47,-0.05
Libya,2.35,3.91,4.67,5.12,2.47,5.97,3.5
Malaysia,3.16,2.83,2.25,2.37,2.41,2,-0.41
Egypt,2.83,2.34,2.26,2.34,2.36,2.08,-0.28
Saudi Arabia,2.38,2.32,2.29,2.1,2.26,2.08,-0.18
Indonesia,2.77,2.33,2.06,2,1.88,1.67,-0.21
Angola,4.49,3.8,2.79,2.33,1.87,1.8,-0.07
Republic of Congo,1.14,1.14,1.58,1.67,1.79,1.8,0.01
Turkmenistan,1.84,1.67,1.5,1.34,1.67,1.17,-0.5
India,2.06,1.5,1.34,1.31,1.49,1.45,-0.04
Kazakhstan,2.67,2.42,2.05,1.57,1.48,1.51,0.03
Gabon,1.56,1.5,1.38,1.46,1.47,1.34,-0.13
Canada,1.3,1.34,1.33,1.05,1.08,1.08,0
United Kingdom,1.34,1.35,1.21,1.11,1.06,0.85,-0.21
Argentina,0.56,0.51,0.7,0.94,1.06,1.24,0.18
Ecuador,1.15,1.07,0.9,0.92,1.04,1.24,0.2
Qatar,1.08,1.03,1,1.34,1.01,0.95,-0.06
Brazil,1.44,1.1,1,1.14,0.99,0.91,-0.08
Syria,0.55,1.19,0.69,0.93,0.98,1.04,0.06
Australia,0.73,0.66,0.86,1.39,0.98,0.84,-0.14
United Arab Emirates,0.84,0.98,1.15,0.9,0.96,0.87,-0.09
Rest of the world,10.7,9.3,8.6,8.6,8.4,8.29,-0.11